Unnamed: 0,county,gallons_from_great_lakes,gallons_from_groundwater,gallons_from_inland_surface,total_gallons_all_sources,industry,year
0,Alcona,0,2666085962,4695086047,7361172009,Total All Sectors,2014
1,Alger,1512160000,1608226431,799089999,3919476431,Total All Sectors,2014
2,Allegan,0,5552539983,3784550040,9337090023,Total All Sectors,2014
3,Alpena,40839120000,10948600250,2532270000,54319990250,Total All Sectors,2014
4,Antrim,0,12214548686,54526097,12269074783,Total All Sectors,2014
5,Arenac,0,7009981840,74305289,7084287129,Total All Sectors,2014
6,Baraga,5059506936,4530051118,0,9589558054,Total All Sectors,2014
7,Barry,0,4867352970,769466502,5636819472,Total All Sectors,2014
8,Bay,24598203000,2668039447,188826006739,216092249186,Total All Sectors,2014
9,Benzie,0,2903814328,2417422249,5321236577,Total All Sectors,2014
10,Berrien,783521680000,6697231285,1629267131,791848178416,Total All Sectors,2014
11,Branch,0,7276299125,3288673034,10564972159,Total All Sectors,2014
12,Calhoun,0,5413480114,1711335852,7124815966,Total All Sectors,2014
13,Cass,0,12927703224,1113205834,14040909058,Total All Sectors,2014
14,Charlevoix,4507125000,6024262701,986872134,11518259835,Total All Sectors,2014
15,Cheboygan,0,1356238077,3466862087,4823100164,Total All Sectors,2014
16,Chippewa,457844000,1315235056,0,1773079056,Total All Sectors,2014
17,Clare,914630000,1434108728,345480000,2694218728,Total All Sectors,2014
18,Clinton,0,2007141003,672893440,2680034443,Total All Sectors,2014
19,Crawford,0,1271809846,46154923,1317964769,Total All Sectors,2014
20,Delta,16848960079,1178098868,213261563,18240320510,Total All Sectors,2014
21,Dickinson,0,1138390800,7622445000,8760835800,Total All Sectors,2014
22,Eaton,0,1133644506,238316850,1371961356,Total All Sectors,2014
23,Emmet,45700000,4657611545,551116724,5254428269,Total All Sectors,2014
24,Genesee,0,1133730812,53446741,1187177553,Total All Sectors,2014
25,Gladwin,501175400,838037875,5466615,1344679890,Total All Sectors,2014
26,Gogebic,0,860425899,29500000,889925899,Total All Sectors,2014
27,Grand Traverse,0,1493029784,27101787,1520131571,Total All Sectors,2014
28,Gratiot,0,2713614158,407929462,3121543620,Total All Sectors,2014
29,Hillsdale,0,3245685049,292700101,3538385150,Total All Sectors,2014
30,Houghton,4825517000,701550254,10068000,5537135254,Total All Sectors,2014
31,Huron,6354000,803534644,333559036,1143447681,Total All Sectors,2014
32,Ingham,0,945870565,28484094909,29429965474,Total All Sectors,2014
33,Ionia,1855030000,1333884993,184780460,3373695453,Total All Sectors,2014
34,Iosco,288597000,660089289,50025651,998711940,Total All Sectors,2014
35,Iron,0,603650296,902466000,1506116296,Total All Sectors,2014
36,Isabella,0,2641667749,1003727446,3645395195,Total All Sectors,2014
37,Jackson,0,3504330356,867715461,4372045817,Total All Sectors,2014
38,Kalamazoo,108679000,13388316291,2405466597,15902461888,Total All Sectors,2014
39,Kalkaska,0,1803857385,641267299,2445124684,Total All Sectors,2014
40,Kent,0,2209591854,976689448,3186281302,Total All Sectors,2014
41,Keweenaw,2300256,442072152,0,444372408,Total All Sectors,2014
42,Lake,0,409700852,0,409700852,Total All Sectors,2014
43,Lapeer,0,565941103,101627389,667568492,Total All Sectors,2014
44,Leelanau,1089439479,1242956453,10248724,2342644656,Total All Sectors,2014
45,Lenawee,640389000,877261048,972825024,2490475072,Total All Sectors,2014
46,Livingston,0,896397997,1256025106,2152423103,Total All Sectors,2014
47,Luce,0,870578048,0,870578048,Total All Sectors,2014
48,Mackinac,574115000,318588974,7195000,899898974,Total All Sectors,2014
49,Macomb,21444961,331269890,490845815,843560666,Total All Sectors,2014
50,Manistee,1062899532,886993290,9489340245,11439233067,Total All Sectors,2014
51,Marquette,69755750181,637485089,12032343018,82425578288,Total All Sectors,2014
52,Mason,0,857068834,9876123708,10733192542,Total All Sectors,2014
53,Mecosta,0,3455434960,232349400,3687784360,Total All Sectors,2014
54,Menominee,0,179419774,710850000,890269774,Total All Sectors,2014
55,Midland,0,282357469,1269395166,1551752636,Total All Sectors,2014
56,Missaukee,0,2837905976,216493854,3054399830,Total All Sectors,2014
57,Monroe,661738926555,9834609096,969965770,672543501421,Total All Sectors,2014
58,Montcalm,0,11015395868,6080422518,17095818386,Total All Sectors,2014
59,Montmorency,0,157559194,52026200,209585394,Total All Sectors,2014
60,Muskegon,0,1961642820,84241548115,86203190935,Total All Sectors,2014
61,Newaygo,0,1809602156,329853245,2139455401,Total All Sectors,2014
62,Oakland,0,1943882167,4577966074,6521848241,Total All Sectors,2014
63,Oceana,0,1961550368,335402840,2296953208,Total All Sectors,2014
64,Ogemaw,595980000,121210363,15941107,733131470,Total All Sectors,2014
65,Ontonagon,6155973300,72653218,0,6228626518,Total All Sectors,2014
66,Osceola,388790000,569199711,48081100,1006070811,Total All Sectors,2014
67,Oscoda,0,90765300,45200000,135965300,Total All Sectors,2014
68,Otsego,1025200000,803903765,0,1829103765,Total All Sectors,2014
69,Ottawa,241040908562,2221807727,21838146023,265100862312,Total All Sectors,2014
70,Presque Isle,3915522000,116410524,8565456252,12597388776,Total All Sectors,2014
71,Roscommon,0,92217828,15866200,108084028,Total All Sectors,2014
72,Saginaw,0,381872635,112740294,494612929,Total All Sectors,2014
73,Saint Clair,458139306165,46191826,101051971,458286549962,Total All Sectors,2014
74,Saint Joseph,3605634000,18586318611,4010232111,26202184722,Total All Sectors,2014
75,Sanilac,145910000,482268321,31065676,659243997,Total All Sectors,2014
76,Schoolcraft,1404091100,632220276,2589826837,4626138213,Total All Sectors,2014
77,Shiawassee,14224779100,87180590,52259800,14364219490,Total All Sectors,2014
78,Tuscola,754528700,449524204,1205627178,2409680082,Total All Sectors,2014
79,Van Buren,42771800000,8614341352,650602739,52036744091,Total All Sectors,2014
80,Washtenaw,196202773000,2849446447,439815367,199492034814,Total All Sectors,2014
81,Wayne,303478413313,671360559,97212675498,401362449370,Total All Sectors,2014
82,Wexford,194940000,1491818719,0,1686758719,Total All Sectors,2014
83,Alcona,0,0,0,0,Commercial-Institutional,2014
84,Alger,0,1336600,0,1336600,Commercial-Institutional,2014
85,Allegan,0,39548542,2124000,41672542,Commercial-Institutional,2014
86,Alpena,0,0,0,0,Commercial-Institutional,2014
87,Antrim,0,24183479,0,24183479,Commercial-Institutional,2014
88,Arenac,0,0,0,0,Commercial-Institutional,2014
89,Baraga,0,0,0,0,Commercial-Institutional,2014
90,Barry,0,11850000,0,11850000,Commercial-Institutional,2014
91,Bay,0,0,0,0,Commercial-Institutional,2014
92,Benzie,0,7652475,0,7652475,Commercial-Institutional,2014
93,Berrien,0,122558126,0,122558126,Commercial-Institutional,2014
94,Branch,0,1522080,0,1522080,Commercial-Institutional,2014
95,Calhoun,0,273021217,246783,273268000,Commercial-Institutional,2014
96,Cass,0,5861600,0,5861600,Commercial-Institutional,2014
97,Charlevoix,0,496218113,0,496218113,Commercial-Institutional,2014
98,Cheboygan,0,0,0,0,Commercial-Institutional,2014
99,Chippewa,0,1798600,0,1798600,Commercial-Institutional,2014
100,Clare,0,16885750,0,16885750,Commercial-Institutional,2014
101,Clinton,0,6630501,0,6630501,Commercial-Institutional,2014
102,Crawford,0,29277000,0,29277000,Commercial-Institutional,2014
103,Delta,1328700,5980,0,1334680,Commercial-Institutional,2014
104,Dickinson,0,55000,0,55000,Commercial-Institutional,2014
105,Eaton,0,70434934,0,70434934,Commercial-Institutional,2014
106,Emmet,0,116801133,0,116801133,Commercial-Institutional,2014
107,Genesee,0,7072082,0,7072082,Commercial-Institutional,2014
108,Gladwin,0,0,0,0,Commercial-Institutional,2014
109,Gogebic,0,261899,29500000,29761899,Commercial-Institutional,2014
110,Grand Traverse,0,1092350,0,1092350,Commercial-Institutional,2014
111,Gratiot,0,853330,0,853330,Commercial-Institutional,2014
112,Hillsdale,0,196818766,0,196818766,Commercial-Institutional,2014
113,Houghton,0,0,0,0,Commercial-Institutional,2014
114,Huron,0,16538719,0,16538719,Commercial-Institutional,2014
115,Ingham,0,20521918,72000,20593918,Commercial-Institutional,2014
116,Ionia,0,54819200,0,54819200,Commercial-Institutional,2014
117,Iosco,0,0,0,0,Commercial-Institutional,2014
118,Iron,0,0,885000000,885000000,Commercial-Institutional,2014
119,Isabella,0,0,0,0,Commercial-Institutional,2014
120,Jackson,0,159396348,0,159396348,Commercial-Institutional,2014
121,Kalamazoo,0,67448629,9178000,76626629,Commercial-Institutional,2014
122,Kalkaska,0,90432000,0,90432000,Commercial-Institutional,2014
123,Kent,0,300083769,36944589,337028358,Commercial-Institutional,2014
124,Keweenaw,0,0,0,0,Commercial-Institutional,2014
125,Lake,0,185500,0,185500,Commercial-Institutional,2014
126,Lapeer,0,1906900,0,1906900,Commercial-Institutional,2014
127,Leelanau,0,9377656,0,9377656,Commercial-Institutional,2014
128,Lenawee,0,12637355,0,12637355,Commercial-Institutional,2014
129,Livingston,0,16161910,6116992,22278902,Commercial-Institutional,2014
130,Luce,0,0,0,0,Commercial-Institutional,2014
131,Mackinac,0,1200000,0,1200000,Commercial-Institutional,2014
132,Macomb,0,7384659,0,7384659,Commercial-Institutional,2014
133,Manistee,0,578100,0,578100,Commercial-Institutional,2014
134,Marquette,0,38777,0,38777,Commercial-Institutional,2014
135,Mason,0,6922400,1279390,8201790,Commercial-Institutional,2014
136,Mecosta,0,6197092,0,6197092,Commercial-Institutional,2014
137,Menominee,0,0,0,0,Commercial-Institutional,2014
138,Midland,0,0,0,0,Commercial-Institutional,2014
139,Missaukee,0,1251200,0,1251200,Commercial-Institutional,2014
140,Monroe,0,6230682,0,6230682,Commercial-Institutional,2014
141,Montcalm,0,3014800,0,3014800,Commercial-Institutional,2014
142,Montmorency,0,12000,0,12000,Commercial-Institutional,2014
143,Muskegon,0,6733941,0,6733941,Commercial-Institutional,2014
144,Newaygo,0,480025,0,480025,Commercial-Institutional,2014
145,Oakland,0,42919703,888517,43808220,Commercial-Institutional,2014
146,Oceana,0,19079880,0,19079880,Commercial-Institutional,2014
147,Ogemaw,0,4872953,0,4872953,Commercial-Institutional,2014
148,Ontonagon,0,0,0,0,Commercial-Institutional,2014
149,Osceola,0,187474584,4545100,192019684,Commercial-Institutional,2014
150,Oscoda,0,18000,0,18000,Commercial-Institutional,2014
151,Otsego,0,0,0,0,Commercial-Institutional,2014
152,Ottawa,0,10563593,0,10563593,Commercial-Institutional,2014
153,Presque Isle,0,202050,0,202050,Commercial-Institutional,2014
154,Roscommon,0,8937680,0,8937680,Commercial-Institutional,2014
155,Saginaw,0,545700,0,545700,Commercial-Institutional,2014
156,Saint Clair,0,0,0,0,Commercial-Institutional,2014
157,Saint Joseph,0,23732087,6340,23738427,Commercial-Institutional,2014
158,Sanilac,0,273000,0,273000,Commercial-Institutional,2014
159,Schoolcraft,0,0,0,0,Commercial-Institutional,2014
160,Shiawassee,0,0,0,0,Commercial-Institutional,2014
161,Tuscola,0,2746240,0,2746240,Commercial-Institutional,2014
162,Van Buren,0,8658814,0,8658814,Commercial-Institutional,2014
163,Washtenaw,0,72483568,0,72483568,Commercial-Institutional,2014
164,Wayne,0,4440000,0,4440000,Commercial-Institutional,2014
165,Wexford,0,37805500,0,37805500,Commercial-Institutional,2014
166,Alcona,0,159058000,0,159058000,Electric Power Generation,2014
167,Alger,0,0,0,0,Electric Power Generation,2014
168,Allegan,0,0,0,0,Electric Power Generation,2014
169,Alpena,40839120000,0,863750000,41702870000,Electric Power Generation,2014
170,Antrim,0,0,0,0,Electric Power Generation,2014
171,Arenac,0,0,0,0,Electric Power Generation,2014
172,Baraga,4930900000,0,0,4930900000,Electric Power Generation,2014
173,Barry,0,0,0,0,Electric Power Generation,2014
174,Bay,0,0,187428548763,187428548763,Electric Power Generation,2014
175,Benzie,0,0,0,0,Electric Power Generation,2014
176,Berrien,783520000000,0,0,783520000000,Electric Power Generation,2014
177,Branch,0,0,0,0,Electric Power Generation,2014
178,Calhoun,0,0,0,0,Electric Power Generation,2014
179,Cass,0,0,0,0,Electric Power Generation,2014
180,Charlevoix,0,0,0,0,Electric Power Generation,2014
181,Cheboygan,0,0,0,0,Electric Power Generation,2014
182,Chippewa,0,0,0,0,Electric Power Generation,2014
183,Clare,0,0,0,0,Electric Power Generation,2014
184,Clinton,0,0,0,0,Electric Power Generation,2014
185,Crawford,0,108854623,0,108854623,Electric Power Generation,2014
186,Delta,3584716379,0,0,3584716379,Electric Power Generation,2014
187,Dickinson,0,0,0,0,Electric Power Generation,2014
188,Eaton,0,0,191596000,191596000,Electric Power Generation,2014
189,Emmet,0,0,0,0,Electric Power Generation,2014
190,Genesee,0,63666319,0,63666319,Electric Power Generation,2014
191,Gladwin,0,0,0,0,Electric Power Generation,2014
192,Gogebic,0,0,0,0,Electric Power Generation,2014
193,Grand Traverse,0,0,0,0,Electric Power Generation,2014
194,Gratiot,0,0,0,0,Electric Power Generation,2014
195,Hillsdale,0,416605075,0,416605075,Electric Power Generation,2014
196,Houghton,0,0,0,0,Electric Power Generation,2014
197,Huron,3528000,0,0,3528000,Electric Power Generation,2014
198,Ingham,0,0,28448947167,28448947167,Electric Power Generation,2014
